team,year,touchdown,field_goal,missed_fg,punt,turnovers,safety,total,end_of_period,blocked_punt,downs,blocked_fg,playoff
LAC,2011,43,28,7,47,28,0,172,19,0,0,0,0
LAR,2011,16,21,7,106,23,2,196,20,1,0,0,0
MIA,2011,31,33,6,78,25,0,195,22,0,0,0,0
MIN,2011,38,22,6,77,26,1,189,19,0,0,0,0
NE,2011,57,28,5,57,17,0,180,16,0,0,0,1
NO,2011,62,28,6,47,19,0,175,12,1,0,0,1
NYG,2011,46,19,5,82,24,2,200,22,0,0,0,1
NYJ,2011,40,19,6,92,34,3,203,9,0,0,0,0
PHI,2011,42,24,3,67,38,1,190,14,1,0,0,0
PIT,2011,34,23,8,60,28,2,168,12,1,0,0,1
SF,2011,32,44,8,79,10,1,192,17,1,0,0,1
SEA,2011,30,25,5,95,23,1,198,19,0,0,0,0
TB,2011,26,26,2,67,40,1,181,19,0,0,0,0
TEN,2011,30,29,3,86,22,0,188,18,0,0,0,0
WAS,2011,27,31,10,66,35,0,188,19,0,0,0,0
ARI,2012,21,25,3,112,34,0,209,14,0,0,0,0
ATL,2012,44,33,5,62,18,0,175,11,2,0,0,1
BAL,2012,39,30,3,83,16,0,193,22,0,0,0,1
BUF,2012,36,21,3,80,34,1,190,15,0,0,0,0
CAR,2012,40,16,5,77,22,1,175,13,1,0,0,0
CHI,2012,32,27,6,81,24,0,195,25,0,0,0,0
CIN,2012,39,30,5,76,26,0,195,19,0,0,0,1
CLE,2012,28,29,2,90,26,0,191,16,0,0,0,0
DAL,2012,37,29,2,69,29,0,180,13,1,0,0,0
DEN,2012,49,26,6,67,25,2,188,13,0,0,0,1
DET,2012,39,32,4,76,33,1,197,12,0,0,0,0
GB,2012,49,21,12,71,16,0,186,16,1,0,0,1
HOU,2012,41,31,7,88,17,1,202,17,0,0,0,1
IND,2012,34,26,7,74,27,0,180,11,1,0,0,1
JAX,2012,25,25,3,92,26,0,196,24,1,0,0,0
KC,2012,17,28,6,83,37,1,186,14,0,0,0,0
LV,2012,28,31,3,82,26,0,188,17,1,0,0,0
LAC,2012,30,25,2,84,26,1,180,9,3,0,0,0
LAR,2012,27,23,8,82,22,1,182,19,0,0,0,0
MIA,2012,28,23,7,76,26,0,186,26,0,0,0,0
MIN,2012,34,35,3,72,23,0,182,15,0,0,0,1
NE,2012,59,29,6,61,16,1,185,12,1,0,0,1
NO,2012,53,18,4,74,24,0,190,17,0,0,0,0
NYG,2012,44,33,6,58,21,0,176,14,0,0,0,0
NYJ,2012,26,21,6,86,37,1,194,15,2,0,0,0
PHI,2012,28,27,4,72,37,0,184,15,1,0,0,0
PIT,2012,35,28,3,79,30,0,186,10,1,0,0,0
SF,2012,40,29,13,67,16,1,178,12,0,0,0,1
SEA,2012,43,24,3,65,18,0,170,17,0,0,0,1
TB,2012,40,28,5,77,23,0,193,19,1,0,0,0
TEN,2012,27,25,6,83,28,1,188,16,2,0,0,0
WAS,2012,46,24,6,70,14,0,183,21,2,0,0,1
ARI,2013,36,30,6,78,31,2,200,17,0,0,0,0
ATL,2013,37,24,3,70,28,0,179,15,2,0,0,0
BAL,2013,26,38,3,91,29,0,207,19,1,0,0,0
BUF,2013,31,33,3,96,27,0,214,24,0,0,0,0
CAR,2013,38,24,3,70,19,0,170,16,0,0,0,1
CHI,2013,45,26,3,69,23,0,182,15,1,0,0,0
CIN,2013,47,18,4,75,30,0,201,27,0,0,0,1
CLE,2013,30,21,5,86,29,0,195,23,1,0,0,0
DAL,2013,45,28,2,77,20,0,183,11,0,0,0,0
DEN,2013,71,25,1,66,26,0,202,12,1,0,0,1
DET,2013,44,19,5,73,34,2,196,18,1,0,0,0
GB,2013,42,33,4,64,25,0,186,18,0,0,0,1
HOU,2013,26,26,9,88,31,1,201,20,0,0,0,0
IND,2013,38,35,5,77,14,2,188,16,1,0,0,1
JAX,2013,23,23,2,95,27,3,195,22,0,0,0,0
KC,2013,41,22,6,89,18,0,197,20,1,0,0,1
LV,2013,33,21,9,86,31,0,194,12,2,0,0,0
LAC,2013,41,34,3,56,21,0,167,12,0,0,0,1
LAR,2013,32,26,2,78,21,1,184,24,0,0,0,0
MIA,2013,32,26,8,85,26,1,194,16,0,0,0,0
MIN,2013,41,26,4,75,32,0,195,17,0,0,0,0
NE,2013,44,38,3,77,20,0,201,19,0,0,0,1
NO,2013,49,24,8,61,19,0,181,20,0,0,0,1
NYG,2013,29,23,3,91,44,0,204,14,0,0,0,0
NYJ,2013,25,33,3,89,29,1,196,15,1,0,0,0
PHI,2013,51,23,5,83,19,2,201,17,1,0,0,1
PIT,2013,37,30,2,76,24,1,189,18,1,0,0,0
SF,2013,39,32,4,79,18,1,188,15,0,0,0,1
SEA,2013,41,33,2,76,19,2,182,7,2,0,0,1
TB,2013,28,23,6,87,21,1,188,22,0,0,0,0
TEN,2013,38,25,4,79,25,0,184,12,1,0,0,0
WAS,2013,34,21,5,85,34,0,199,19,1,0,0,0
ARI,2014,27,29,4,92,17,0,181,10,2,0,0,1
ATL,2014,39,29,3,67,23,0,175,14,0,0,0,0
BAL,2014,43,29,5,60,20,1,182,24,0,0,0,1
BUF,2014,30,34,4,86,23,1,197,19,0,0,0,0
CAR,2014,33,29,6,74,23,0,178,12,1,0,0,1
CHI,2014,38,12,4,72,29,0,180,24,1,0,0,0
